id,retweet_count,favorite_count,rating_numerator,rating_denominator,name
892420643555336193,7555,35734,13,10,Phineas
892177421306343426,5599,30873,13,10,Tilly
891815181378084864,3709,23224,12,10,Archie
891689557279858688,7739,39026,13,10,Darla
891327558926688256,8335,37282,12,10,Franklin
890971913173991426,1817,10922,13,10,Jax
890609185150312448,3850,25853,13,10,Zoey
890240255349198849,6576,29520,14,10,Cassie
890006608113172480,6565,28433,13,10,Koda
889880896479866881,4466,25869,13,10,Bruno
889638837579907072,4009,25058,12,10,Ted
889531135344209921,2022,14057,13,10,Stuart
889278841981685760,4779,23344,13,10,Oliver
888917238123831296,4020,26972,12,10,Jim
888804989199671297,3792,23666,13,10,Zeke
888554962724278272,3104,18268,13,10,Ralphus
888078434458587136,3111,20192,12,10,Gerald
887705289381826560,4841,28063,13,10,Jeffrey
887517139158093824,10568,42969,14,10,such
887473957103951883,16125,63675,13,10,Canela
886983233522544640,6857,32316,13,10,Maya
886736880519319552,2869,11084,13,10,Mingus
886680336477933568,4009,20842,13,10,Derek
886366144734445568,2837,19579,12,10,Roscoe
886258384151887873,5664,25948,13,10,Waffles
885984800019947520,6027,30195,12,10,Jimbo
885528943205470208,5729,33315,13,10,Maisey
884925521741709313,16174,71358,12,10,Earl
884876753390489601,4999,25772,13,10,Lola
884562892145688576,4212,22534,13,10,Kevin
884162670584377345,2681,18921,12,10,Yogi
883838122936631299,3073,20250,12,10,Noah
883482846933004288,8853,42436,5,10,Bella
883360690899218434,3317,21012,13,10,Grizzwald
882992080364220416,3485,22141,13,10,Rusty
882762694511734784,4383,26179,12,10,Gus
882627270321602560,5449,25957,13,10,Stanley
882268110199369728,10387,41523,13,10,Alfy
882045870035918850,4370,27182,13,10,Koko
881906580714921986,3050,22563,12,10,Rey
881666595344535552,9571,46958,13,10,Gary
881268444196462592,4743,21569,12,10,Elliot
880935762899988482,2506,15857,13,10,Louis
880465832366813184,5570,26387,12,10,Bella
880221127280381952,3735,25007,12,10,Jesse
879862464715927552,3125,20753,13,10,Romeo
879492040517615616,2862,21782,12,10,Bailey
879415818425184262,40000,98102,13,10,Duddles
879376492567855104,2815,15611,12,10,Jack
879050749262655488,4227,20918,11,10,Steven
879008229531029506,2406,17651,13,10,Beau
878776093423087618,3679,17973,13,10,Snoopy
878281511006478336,1152,7174,13,10,Shadow
878057613040115712,6115,39078,14,10,Emmy
877736472329191424,17026,73523,13,10,Aja
877556246731214848,3421,21074,12,10,Penny
877316821321428993,4678,25470,13,10,Dante
877201837425926144,5011,25176,12,10,Nelly
876838120628539392,3004,19236,12,10,Ginger
876484053909872640,2130,17461,13,10,Benedict
876120275196170240,4200,26015,13,10,Venti
875747767867523072,3849,23365,13,10,Goose
875144289856114688,4423,20406,13,10,Nugget
874680097055178752,4179,25891,12,10,Cash
874296783580663808,3716,24249,13,10,Jed
874012996292530176,9234,31872,13,10,Sebastian
873213775632977920,1431,6673,12,10,Sierra
872620804844003328,3300,19327,13,10,Monkey
872122724285648897,7338,31977,12,10,Kody
871879754684805121,9932,35067,13,10,Lassie
871762521631449091,3165,18880,12,10,Rover
871515927908634625,3152,18853,12,10,Napolean
871032628920680449,3469,21268,13,10,Boomer
870656317836468226,2389,11535,13,10,Cody
870374049280663552,24194,77760,13,10,Zoey
870308999962521604,3778,20519,13,10,Rumble
870063196459192321,7569,34199,14,10,Clifford
869772420881756160,9260,39937,13,10,Dewey
869702957897576449,5753,26454,13,10,Stanley
869596645499047938,2850,14968,12,10,Scout
869227993411051520,3444,19159,13,10,Gizmo
